11-73201,http://tshop.r10s.jp/lamd/cabinet/04448482/imgrc0066038428.jpg?fitin=700:700,5818.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,,"長さの測定、直角の確認やケガキ作業に使用する曲尺。
木材・石材・金属などの曲尺では困難だった大きな物の
測定やケガキ作業が出来ます。  

■精度
・直角度：100mmにつき0.1mm以下　　
・長さの許容差：＋-0.5mm以下  

■表目盛
・長枝：外目盛1m
・短枝：外目盛60cm  

■裏目盛
・長枝：外目盛3尺3寸
・短枝：外目盛2尺  

■形状：同厚 

■材質：ステンレス  

■サイズ：(約）1030×630×2.5mm 

■重量：（約）1102g 

【注意事項】
電気に触れる恐れのある場所では使用しないでください。",シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094：アークランド楽天市場ショップ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具塗料・接着・補修作業用品園芸用品農業用品水道用品エクステリアペット用品照明インテリア収納家庭用品カー用品アウトドア防犯防災クラフト電材ガーデン安全用品サイクル用品シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094,シンワ 曲尺大金普及型ステン1m/3尺3寸 併用目盛 63094[rn]
11-73289,,27877.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3441】(4796527)４レンジアナログ絶縁抵抗計 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スピーディーな測定に役立つ機能を搭載した、軽量コンパクトサイズ絶縁抵抗計です。<br>●見やすいスケール目盛と状態をLED色で確認できる機能を搭載、直流/交流オート電圧測定も可能です。<br>●リモートスイッチ付測定コード、取り出し、収納が簡単な携帯用ケースが付属しています。<br>●絶縁抵抗の測定。<br>●交流電圧(V):600<br>●定格測定電圧(V/MΩ):125/500、250/200、500/200、1000/2000<br>●最小表示(MΩ):0.2<br>●質量(g):430<br>●幅×奥行×高さ：156×46×97mm<br>●電源：単3乾電池（R6P）×4本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3441】(4796527)４レンジアナログ絶縁抵抗計 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3441】(4796527)４レンジアナログ絶縁抵抗計 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW3441】(4796527)４レンジアナログ絶縁抵抗計 受注単位1[rn]
11-73290,,24606.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW4500】(4796543)コンセントＮ－Ｅテスタ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●従来困難であった接地極付きコンセントのN-E誤配線を一人で簡単にチェック可能です。<br>●3極式、2極式コンセントに対応します。<br>●N-E誤配線でも30mAブレーカーを動作させません（測定電流10mA）。<br>●直流電圧(V):-<br>●交流電圧(V):120<br>●質量(g):250<br>●定格電流(50/60Hz):100V<br>●幅×奥行×高さ：56×39×212mm<br>●電源：単３アルカリ乾電池(LR6)×2本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW4500】(4796543)コンセントＮ&minus;Ｅテスタ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW4500】(4796543)コンセントＮ&minus;Ｅテスタ 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【KEW4500】(4796543)コンセントＮ&minus;Ｅテスタ 受注単位1[rn]
11-73291,,32234.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4105A-H】(4796861)デジタル接地抵抗計（ハードケース） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●簡易測定（2極法）に対応したデジタルアーステスタです。<br>●A～D種（3極法）の測定も可能です。<br>●接地抵抗の測定に。<br>●接地抵抗(Ω):20/200/2000<br>●地電圧(V):200<br>●質量(g):550<br>●ケース:ハード<br>●幅×奥行×高さ:158×70×105mm<br>●電源：単3乾電池（R6P）×6本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4105A-H】(4796861)デジタル接地抵抗計（ハードケース） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4105A-H】(4796861)デジタル接地抵抗計（ハードケース） 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4105A-H】(4796861)デジタル接地抵抗計（ハードケース） 受注単位1[rn]
11-73292,,26913.6000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4102A-H】(4796845)アナログ接地抵抗計（ハードケース） 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●簡易測定（2極法）に対応したアナログアーステスタです。<br>●A～D種（3極法）の測定も可能です。<br>●接地抵抗の測定に。<br>●接地抵抗(Ω):12/120/1200<br>●地電圧(V):30<br>●質量(g):600<br>●ケース:ハード<br>●幅×奥行×高さ:158×70×105mm<br>●電源：単3乾電池（R6P）×6本（付属）<br>",『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4102A-H】(4796845)アナログ接地抵抗計（ハードケース） 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4102A-H】(4796845)アナログ接地抵抗計（ハードケース） 受注単位1,生産加工用品\計測機器\電気測定器。『カード対応OK！』■〒共立電気計器（株）/ＫＹＯＲＩＴＳＵ【MODEL4102A-H】(4796845)アナログ接地抵抗計（ハードケース） 受注単位1[rn]
11-73293,,1819.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50205】(4706650)クリックセット 単能形トルクドライバー用ブレード Ｔ５ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボンダス社独自の鋼材を採用する事により、高い強度を実現しています。<br>●表面をフッ素樹脂加工しており、耐蝕性に優れています。<br>●ブレードの刃先とボルトの交差をできるだけなくす事により、ブレードとボルトを傷つきにくくする事と同時に、ブレードとボルトをできるだけ固定する事により、さらなる高いトルクを実現しています。<br>●全長(mm):140<br>●先端:T5<br>●質量(g):22<br>●プロテニアム合金鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50205】(4706650)クリックセット 単能形トルクドライバー用ブレード Ｔ５ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50205】(4706650)クリックセット 単能形トルクドライバー用ブレード Ｔ５ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50205】(4706650)クリックセット 単能形トルクドライバー用ブレード Ｔ５ 受注単位1[rn]
11-73294,,5256.8000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【55408】(4706749)クリックセット 単能形トルクドライバー用グリップ ０．９Ｎｍ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●人間工学に基づいて設計されており握りやすく、小さな力で最大のトルクが出るよう設計されています。<br>●最大15度の傾斜でも転がらないようなデザインになっています。<br>●グリップの表面には手に水や油が付着しても滑りにくい素材を採用しています。<br>●全長(mm):105<br>●設定トルク(Nm):0.9<br>●質量(g):65<br>●トルク精度:±10％<br>●負荷方向:右<br>●樹脂<br>",『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【55408】(4706749)クリックセット 単能形トルクドライバー用グリップ ０．９Ｎｍ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【55408】(4706749)クリックセット 単能形トルクドライバー用グリップ ０．９Ｎｍ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【55408】(4706749)クリックセット 単能形トルクドライバー用グリップ ０．９Ｎｍ 受注単位1[rn]
11-73295,,7267.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET4.5】(4813626)２９２イージートルクドライバー４．５ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●設定されたトルク値で締め付ける事が出来るトルクドライバーです。<br>●一定のトルク値に達すると内部が滑る仕掛けになっていますので、ねじの締めすぎを防止できます。<br>●超硬チップの締め付け用に。<br>●全長(mm):130<br>●グリップ径(mm):34<br>●設定トルク(N・m):4.5<br>●適応ビット(mm):4(2859シリーズ)<br>●質量(g):100<br>●トルク精度:±10%<br>●負荷方向:右<br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET4.5】(4813626)２９２イージートルクドライバー４．５ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET4.5】(4813626)２９２イージートルクドライバー４．５ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET4.5】(4813626)２９２イージートルクドライバー４．５ 受注単位1[rn]
11-73296,,6940.0000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET2.5】(4813588)２９２イージートルクドライバー２．５ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●設定されたトルク値で締め付ける事が出来るトルクドライバーです。<br>●一定のトルク値に達すると内部が滑る仕掛けになっていますので、ねじの締めすぎを防止できます。<br>●超硬チップの締め付け用に。<br>●全長(mm):130<br>●グリップ径(mm):34<br>●設定トルク(N・m):2.5<br>●適応ビット(mm):4(2859シリーズ)<br>●質量(g):100<br>●トルク精度:±10%<br>●負荷方向:右<br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET2.5】(4813588)２９２イージートルクドライバー２．５ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET2.5】(4813588)２９２イージートルクドライバー２．５ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【292ET2.5】(4813588)２９２イージートルクドライバー２．５ 受注単位1[rn]
11-73297,,137067.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##∀■〒スナップオン・ツールズ（株）/ＣＤＩ【10005MFRMH】(4898516)クリック型トルクレンチ ２００－１０００Ｆｔ．Ｌｂ．３０５－１３２２Ｎ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●Ft. Lb.とNmのデュアルスケール表示です。<br>●ハンドル部は滑らないようにローレット加工を施してあります。<br>●ソケットをしっかり保持し、また取り外しも容易に行えるクイックリリース機構を装備しています（一部除く）。<br>●航空機のトルク管理などに。<br>●トルク調整範囲(N・m):305～1322<br>●差込角(mm):25.4<br>●全長(mm):1778<br>●トルク調整範囲(ft.lb)：200～1000<br>●質量(kg):11.4<br>●精度：±3％CW、±4％CCW（フルスケールの20～100％）<br>●シリアル番号付きでNISTトレーサビリティに対応<br>●航空産業向け以外のお客様には販売できません。<br>●計量法の規定により、提出書類の記入後の出荷となります。<br>",『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【10005MFRMH】(4898516)クリック型トルクレンチ ２００&minus;１０００Ｆｔ．Ｌｂ．３０５&minus;１３２２Ｎ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【10005MFRMH】(4898516)クリック型トルクレンチ ２００&minus;１０００Ｆｔ．Ｌｂ．３０５&minus;１３２２Ｎ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【10005MFRMH】(4898516)クリック型トルクレンチ ２００&minus;１０００Ｆｔ．Ｌｂ．３０５&minus;１３２２Ｎ 受注単位1[rn]
11-73298,,1819.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50106】(4706595)クリックセット 単能形トルクドライバー用ブレード ７／６４インチ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面をフッ素樹脂加工しており、耐蝕性に優れています。<br>●ブレードの刃先とボルトの交差をできるだけなくす事により、ブレードとボルトを傷つきにくくする事と同時に、ブレードとボルトをできるだけ固定する事により、さらなる高いトルクを実現しています。<br>●ボンダス社独自の鋼材を採用する事により、高い強度を実現しています。<br>●全長(mm):140<br>●先端:六角　7/64<br>●質量(g):22<br>●プロテニアム合金鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50106】(4706595)クリックセット 単能形トルクドライバー用ブレード ７／６４インチ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50106】(4706595)クリックセット 単能形トルクドライバー用ブレード ７／６４インチ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50106】(4706595)クリックセット 単能形トルクドライバー用ブレード ７／６４インチ 受注単位1[rn]
11-73299,,1819.2000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50215】(4706714)クリックセット 単能形トルクドライバー用ブレード Ｔ１５ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●表面をフッ素樹脂加工しており、耐蝕性に優れています。<br>●ブレードの刃先とボルトの交差をできるだけなくす事により、ブレードとボルトを傷つきにくくする事と同時に、ブレードとボルトをできるだけ固定する事により、さらなる高いトルクを実現しています。<br>●ボンダス社独自の鋼材を採用する事により、高い強度を実現しています。<br>●全長(mm):140<br>●先端:T15<br>●質量(g):24<br>●プロテニアム合金鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50215】(4706714)クリックセット 単能形トルクドライバー用ブレード Ｔ１５ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50215】(4706714)クリックセット 単能形トルクドライバー用ブレード Ｔ１５ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』■〒ボンダス・ジャパン（株）/ボンダス 【50215】(4706714)クリックセット 単能形トルクドライバー用ブレード Ｔ１５ 受注単位1[rn]
11-73300,,24562.4000,,花・ガーデン・DIY > DIY・工具 > 計測工具 > その他,『カード対応OK！』##∀■〒スナップオン・ツールズ（株）/ＣＤＩ【61SM-CDI】(4898630)トルクスクリュードライバー２０－１００Ｉｎ．Ｏｚ 受注単位1,,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●オーバートルクをカムで制御して、高い作業性と精度を実現しています。<br>●内部潤滑構造により注油は必要ありません。<br>●読みやすい数値表示と調節ノブを搭載しています。<br>●航空機のトルク管理などに。<br>●全長(mm):140<br>●トルク調整範囲(in.oz)：20～100<br>●適応ビット(mm):6.35(1/4インチ)<br>●質量(g):192<br>●精度：±6％CW（フルスケールの20～100％）<br>●ASME B107.14-2004準拠<br>●シリアル番号付きでNISTトレーサビリティに対応<br>●刻み値：0.5 in. lb.<br>●航空産業向け以外のお客様には販売できません。<br>●計量法の規定により、提出書類の記入後の出荷となります。<br>",『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【61SM-CDI】(4898630)トルクスクリュードライバー２０&minus;１００Ｉｎ．Ｏｚ 受注単位1：クローバー資材館,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【61SM-CDI】(4898630)トルクスクリュードライバー２０&minus;１００Ｉｎ．Ｏｚ 受注単位1,生産加工用品\計測機器\トルク機器。『カード対応OK！』##&forall;■〒スナップオン・ツールズ（株）/ＣＤＩ【61SM-CDI】(4898630)トルクスクリュードライバー２０&minus;１００Ｉｎ．Ｏｚ 受注単位1[rn]
